trading_date,price_AAPL,price_TSLA,price_JPM,price_NVDA
2023-01-03,125.725,109.5078,135.1124,14.3681
2023-01-04,126.6464,111.7977,136.4908,14.6152
2023-01-05,126.0883,109.6541,134.988,14.314
2023-01-06,128.1982,109.0248,137.3405,14.5982
2023-01-09,131.6292,121.0363,137.7288,15.7877
2023-01-10,129.822,117.8401,138.3062,15.747
2023-01-11,132.3081,122.6777,139.24,15.8237
2023-01-12,133.171,121.0372,139.93,16.2032
2023-01-13,133.6773,119.4746,140.7266,16.6757
2023-01-17,135.7587,129.3585,140.456,17.5131
2023-01-18,136.3316,130.7704,137.7384,17.524
2023-01-19,134.9653,127.1985,134.8734,16.9312
2023-01-20,136.3762,131.0354,134.7617,17.4243
2023-01-23,141.2116,141.1574,136.9099,18.8202
2023-01-24,142.0507,143.5041,138.3662,19.1497
2023-01-25,140.7526,143.3163,138.3453,18.9909
2023-01-26,143.3429,157.8064,139.5063,19.6421
2023-01-27,145.8365,172.965,140.5262,20.1699
2023-01-30,143.6524,172.279,139.4634,19.5543
2023-01-31,143.6473,170.7898,139.3323,19.4049
2023-02-01,143.8723,175.8396,139.5571,20.3642
2023-02-02,149.3764,190.5211,139.0708,21.4552
2023-02-03,154.2437,193.3842,140.7472,21.3126
2023-02-06,152.0939,194.5538,141.3295,21.1985
2023-02-07,153.4202,194.1225,143.0404,21.6974
2023-02-08,152.3636,200.2789,143.0633,22.3817
2023-02-09,152.2769,209.9267,141.0556,22.6665
2023-02-10,150.4054,198.1208,140.4591,21.3152
2023-02-13,153.231,193.2998,142.3043,21.694
2023-02-14,152.5956,201.8225,143.0121,22.5682
2023-02-15,154.4536,211.6085,143.2147,22.5468
2023-02-16,154.7143,211.3216,142.329,22.2462
2023-02-17,152.0451,202.9642,141.8221,21.3416
2023-02-21,149.3501,202.4126,139.6909,20.9405
2023-02-22,148.5494,197.461,138.6308,21.0021
2023-02-23,148.8407,200.6393,139.2911,23.5205
2023-02-24,146.3861,195.575,140.5161,23.2086
2023-02-27,148.1344,206.3174,142.4964,23.6499
2023-02-28,147.7996,207.0803,143.0952,23.4712
2023-03-01,145.868,201.4307,142.6185,22.8149
2023-03-02,145.1652,190.0234,140.7496,22.9351
2023-03-03,150.0304,197.507,142.8166,23.5345
2023-03-06,154.6895,195.2121,143.2345,23.8433
2023-03-07,152.2768,190.1195,139.4929,23.6764
2023-03-08,152.6973,181.8242,137.7267,23.8726
2023-03-09,152.4689,178.8095,131.8995,23.9343
2023-03-10,149.0716,174.2728,132.574,23.1041
2023-03-13,151.1835,171.6746,131.7512,22.9278
2023-03-14,152.1061,181.1945,133.2389,23.9189
2023-03-15,151.7861,179.3899,128.5102,23.8117
2023-03-16,154.813,182.9179,129.7008,24.972
2023-03-17,155.3402,180.4693,126.205,25.9258
2023-03-20,156.6059,182.8769,127.3481,25.6926
2023-03-21,158.3406,193.691,130.7081,26.035
2023-03-22,159.6832,196.6986,128.9063,26.9819
2023-03-23,159.5685,194.6499,127.6119,27.188
2023-03-24,159.2417,189.5479,124.4906,26.6534
2023-03-27,159.0188,193.7046,128.1355,26.6546
2023-03-28,156.9785,188.2527,128.6805,26.1762
2023-03-29,160.216,192.3766,129.0757,26.8994
2023-03-30,162.0209,195.8746,128.7189,27.3291
2023-03-31,164.0421,203.6711,129.8575,27.5789
2023-04-03,165.3487,196.0193,130.2373,27.6983
2023-04-04,165.9131,193.0305,128.3457,27.6189
2023-04-05,163.4912,186.3169,127.4982,26.6858
2023-04-06,164.0257,184.0636,127.5575,26.8678
2023-04-10,161.2628,181.065,127.689,27.3008
2023-04-11,161.1314,187.3863,128.3428,27.3217
2023-04-12,160.8845,184.4904,128.889,26.7844
2023-04-13,164.3531,184.8249,128.4472,26.6525
2023-04-14,165.0394,184.0059,137.9447,26.5743
2023-04-17,164.8044,185.6576,139.0911,26.7463
2023-04-18,166.3535,185.1176,140.9172,27.7513
2023-04-19,167.2806,180.0481,141.0568,27.7438
2023-04-20,166.779,164.9342,140.7995,27.5136
2023-04-21,165.0754,164.1298,140.2668,26.9993
2023-04-24,164.9397,161.4701,140.5423,27.0082
2023-04-25,164.6479,161.7449,138.423,26.5589
2023-04-26,163.9084,155.8253,135.5596,27.0446
2023-04-27,167.3197,157.2154,136.9943,26.9787
2023-04-28,168.9479,162.4465,137.7801,27.4712
2023-05-01,169.6586,161.3388,141.9261,28.6238
2023-05-02,168.6978,161.8159,139.4183,28.355
2023-05-03,169.013,163.2688,137.0153,27.9082
2023-05-04,166.0983,161.3815,133.6166,27.571
2023-05-05,173.3116,168.1264,136.7084,28.4083
2023-05-08,173.321,171.3729,137.1347,28.8579
2023-05-09,172.3162,168.1513,136.2249,28.6304
2023-05-10,173.1737,170.2634,136.2091,28.8543
2023-05-11,173.4903,169.581,135.9552,28.5599
2023-05-12,172.3696,171.2819,134.1583,28.3289
2023-05-15,172.1109,166.901,134.8897,28.6735
2023-05-16,172.2781,167.3766,134.5665,29.4269
2023-05-17,171.85,172.3315,137.6454,29.8855
2023-05-18,174.3014,174.8142,138.7387,31.3413
2023-05-19,175.5191,179.5693,139.3604,31.2532
2023-05-22,174.1828,185.6701,138.833,31.2091
2023-05-23,172.1908,188.7664,137.3837,30.9068
2023-05-24,171.5088,181.4964,135.4714,32.1595
2023-05-25,172.8818,184.1518,135.4731,38.3018
2023-05-26,175.1454,193.1191,136.8728,38.5311
2023-05-30,177.4489,200.4723,137.0793,40.6589
2023-05-31,177.9376,199.4814,135.4135,38.5756
2023-06-01,179.3796,205.0753,137.3011,39.3141
2023-06-02,180.6479,214.4711,140.6835,39.5584
2023-06-05,182.1408,218.1987,138.891,39.0982
2023-06-06,178.7093,218.0639,139.2858,38.7135
2023-06-07,178.6619,226.6049,140.372,38.3628
2023-06-08,179.5493,231.9463,140.3491,38.3536
